Dataset,Missingness Ratio,Mechanism,Iteration,Impute,ROC-AUC Score,precision,recall,sensitivity,specificity,ppv,npv,f1
breast_cancer,0.1,MCAR,6,semi-global,0.899770717,0.98245614,0.788732394,0.788732394,0.976744186,0.98245614,0.736842105,0.875
breast_cancer,0.1,MCAR,7,semi-global,0.962659679,1,0.845070423,0.845070423,1,1,0.796296296,0.916030534
breast_cancer,0.1,MCAR,8,semi-global,0.915492958,1,0.690140845,0.690140845,0.962084978,1,0.661538462,0.816666667
breast_cancer,0.1,MCAR,9,semi-global,0.950704225,0.896632331,0.887323944,0.887323944,1,1,0.843137255,0.940298507
breast_cancer,0.1,MCAR,10,semi-global,0.922535211,1,0.788732394,0.788732394,1,1,0.74137931,0.881889764
breast_cancer,0.1,MAR,1,semi-global,1,1,0.76484139,1,1,1,1,0.846564194
breast_cancer,0.1,MAR,2,semi-global,0.877888837,0.927406777,1,0.802394307,0.980788972,1,1,1
breast_cancer,0.1,MAR,3,semi-global,0.891700204,1,1,1,1,1,0.917223743,0.820284871
breast_cancer,0.1,MAR,4,semi-global,0.889004787,1,1,1,0.962344413,1,0.944679378,1
breast_cancer,0.1,MAR,5,semi-global,1,0.901445662,0.761012755,1,1,1,1,1
breast_cancer,0.1,MAR,6,semi-global,0.988044546,0.985915493,0.985915493,0.985915493,0.976744186,0.985915493,0.976744186,0.985915493
breast_cancer,0.1,MAR,7,semi-global,1,1,1,0.778484509,0.971214203,0.917049332,1,1
breast_cancer,0.1,MAR,8,semi-global,0.89730215,1,0.795923309,1,1,1,0.899833013,1
breast_cancer,0.1,MAR,9,semi-global,1,0.896720416,1,0.787937745,1,1,1,1
breast_cancer,0.1,MAR,10,semi-global,1,1,0.792270336,1,1,1,1,1
breast_cancer,0.1,MNAR,1,semi-global,0.964788732,1,0.901408451,0.901408451,1,1,0.86,0.948148148
breast_cancer,0.1,MNAR,2,semi-global,0.964788732,1,0.774647887,0.774647887,0.952977909,0.926097776,0.728813559,0.873015873
breast_cancer,0.1,MNAR,3,semi-global,0.963642319,0.905713907,0.85915493,0.85915493,1,0.922537099,0.811320755,0.924242424
breast_cancer,0.1,MNAR,4,semi-global,0.901408451,1,0.676056338,0.676056338,1,1,0.651515152,0.806722689
breast_cancer,0.1,MNAR,5,semi-global,0.922535211,1,0.76056338,0.76056338,0.952817334,1,0.716666667,0.864
breast_cancer,0.1,MNAR,6,semi-global,0.932197838,0.955882353,0.915492958,0.915492958,0.930232558,0.955882353,0.869565217,0.935251799
breast_cancer,0.1,MNAR,7,semi-global,0.941369145,1,0.788732394,0.788732394,1,0.904698878,0.74137931,0.881889764
breast_cancer,0.1,MNAR,8,semi-global,0.99557812,0.983870968,0.85915493,0.85915493,0.976744186,0.983870968,0.807692308,0.917293233
breast_cancer,0.1,MNAR,9,semi-global,0.915820504,1,0.690140845,0.690140845,1,1,0.661538462,0.816666667
breast_cancer,0.1,MNAR,10,semi-global,0.963969866,1,0.830985915,0.830985915,1,0.919181908,0.781818182,0.907692308
breast_cancer,0.2,MCAR,1,semi-global,0.833606289,0.90464233,0.521126761,0.521126761,1,1,0.558441558,0.685185185
breast_cancer,0.2,MCAR,2,semi-global,0.776449394,1,0.422535211,0.422535211,0.954245208,1,0.511904762,0.594059406
breast_cancer,0.2,MCAR,3,semi-global,0.870291517,0.973684211,0.521126761,0.521126761,0.976744186,0.973684211,0.552631579,0.678899083
breast_cancer,0.2,MCAR,4,semi-global,0.828856862,1,0.478873239,0.478873239,0.953054933,1,0.5375,0.647619048
breast_cancer,0.2,MCAR,5,semi-global,0.873239437,1,0.478873239,0.478873239,1,1,0.5375,0.647619048
breast_cancer,0.2,MCAR,6,semi-global,0.853750409,0.976190476,0.577464789,0.577464789,0.976744186,0.976190476,0.583333333,0.725663717
breast_cancer,0.2,MCAR,7,semi-global,0.873239437,0.920267881,0.591549296,0.591549296,1,1,0.597222222,0.743362832
breast_cancer,0.2,MCAR,8,semi-global,0.887979037,0.957446809,0.633802817,0.633802817,0.953488372,0.957446809,0.611940299,0.762711864
breast_cancer,0.2,MCAR,9,semi-global,0.929577465,1,0.718309859,0.718309859,1,1,0.682539683,0.836065574
breast_cancer,0.2,MCAR,10,semi-global,0.816573862,1,0.478873239,0.478873239,1,1,0.5375,0.647619048
breast_cancer,0.2,MAR,1,semi-global,1,1,0.784440986,1,0.975009232,1,1,1
breast_cancer,0.2,MAR,2,semi-global,0.988372093,0.986111111,1,1,0.976744186,0.986111111,1,0.993006993
breast_cancer,0.2,MAR,3,semi-global,0.917330838,0.898346844,1,1,0.987941092,0.919502964,0.906348892,1
breast_cancer,0.2,MAR,4,semi-global,1,1,1,1,0.989158108,1,1,0.814776153
breast_cancer,0.2,MAR,5,semi-global,1,1,1,0.797568324,1,1,1,1
breast_cancer,0.2,MAR,6,semi-global,0.957746479,1,0.873239437,0.873239437,1,1,0.826923077,0.932330827
breast_cancer,0.2,MAR,7,semi-global,0.888416924,0.986111111,0.763629931,1,0.976744186,0.986111111,0.943061516,0.993006993
breast_cancer,0.2,MAR,8,semi-global,0.883021972,1,0.764500259,0.784922081,0.952905499,1,0.946259425,1
breast_cancer,0.2,MAR,9,semi-global,0.979200786,0.984848485,0.915492958,0.915492958,0.976744186,0.984848485,0.875,0.948905109
breast_cancer,0.2,MAR,10,semi-global,0.992957746,1,0.985915493,0.985915493,0.995828643,1,0.977272727,0.992907801
breast_cancer,0.2,MNAR,1,semi-global,0.836390436,0.972972973,0.507042254,0.507042254,0.976744186,0.972972973,0.545454545,0.666666667
breast_cancer,0.2,MNAR,2,semi-global,0.872584343,0.931818182,0.577464789,0.577464789,0.930232558,0.931818182,0.571428571,0.713043478
breast_cancer,0.2,MNAR,3,semi-global,0.877006223,0.910454043,0.605633803,0.605633803,1,1,0.605633803,0.754385965
breast_cancer,0.2,MNAR,4,semi-global,0.781690141,0.935483871,0.408450704,0.408450704,0.953488372,0.935483871,0.493975904,0.568627451
breast_cancer,0.2,MNAR,5,semi-global,0.802653128,0.911239012,0.450704225,0.450704225,0.959222144,0.927252055,0.524390244,0.621359223
breast_cancer,0.2,MNAR,6,semi-global,0.800032755,1,0.507042254,0.507042254,0.980934472,1,0.551282051,0.672897196
breast_cancer,0.2,MNAR,7,semi-global,0.855060596,1,0.492957746,0.492957746,1,0.91863032,0.544303797,0.660377358
breast_cancer,0.2,MNAR,8,semi-global,0.86161153,0.975,0.549295775,0.549295775,0.976744186,0.975,0.567567568,0.702702703
breast_cancer,0.2,MNAR,9,semi-global,0.790697674,0.918686974,0.563380282,0.563380282,1,1,0.581081081,0.720720721
breast_cancer,0.2,MNAR,10,semi-global,0.782836554,0.895970027,0.521126761,0.521126761,1,0.917009733,0.558441558,0.685185185
breast_cancer,0.3,MCAR,1,semi-global,0.833606289,0.976190476,0.577464789,0.577464789,0.976744186,0.976190476,0.583333333,0.725663717
breast_cancer,0.3,MCAR,2,semi-global,0.763183754,0.945945946,0.492957746,0.492957746,0.953488372,0.945945946,0.532467532,0.648148148
breast_cancer,0.3,MCAR,3,semi-global,0.838847036,0.970588235,0.464788732,0.464788732,0.976744186,0.970588235,0.525,0.628571429
breast_cancer,0.3,MCAR,4,semi-global,0.856043236,0.962962963,0.366197183,0.366197183,0.976744186,0.962962963,0.482758621,0.530612245
breast_cancer,0.3,MCAR,5,semi-global,0.874058303,1,0.563380282,0.563380282,1,1,0.581081081,0.720720721
breast_cancer,0.3,MCAR,6,semi-global,0.86161153,0.917133368,0.436619718,0.436619718,1,1,0.518072289,0.607843137
breast_cancer,0.3,MCAR,7,semi-global,0.86554209,1,0.535211268,0.535211268,1,1,0.565789474,0.697247706
breast_cancer,0.3,MCAR,8,semi-global,0.828529315,1,0.492957746,0.492957746,1,0.924640843,0.544303797,0.660377358
breast_cancer,0.3,MCAR,9,semi-global,0.944317065,0.910662311,0.633802817,0.633802817,0.974229376,0.902082603,0.623188406,0.775862069
breast_cancer,0.3,MCAR,10,semi-global,0.823943662,0.91779438,0.309859155,0.309859155,1,0.911903775,0.467391304,0.47311828
breast_cancer,0.3,MAR,1,semi-global,1,0.914676754,0.770181769,1,1,0.922672684,0.921188419,0.805184982
breast_cancer,0.3,MAR,2,semi-global,0.999672453,1,0.985915493,0.985915493,1,0.907915708,0.977272727,0.992907801
breast_cancer,0.3,MAR,3,semi-global,0.936619718,0.900113273,0.873239437,0.873239437,1,1,0.826923077,0.932330827
breast_cancer,0.3,MAR,4,semi-global,0.981493613,0.984126984,0.873239437,0.873239437,0.976744186,0.984126984,0.823529412,0.925373134
breast_cancer,0.3,MAR,5,semi-global,1,0.905321476,1,1,1,0.907397973,1,0.846465832
breast_cancer,0.3,MAR,6,semi-global,0.830985915,1,0.549295775,0.549295775,1,0.885563689,0.573333333,0.709090909
breast_cancer,0.3,MAR,7,semi-global,0.978873239,0.903440482,0.746478873,0.746478873,0.958127674,0.926555028,0.704918033,0.85483871
breast_cancer,0.3,MAR,8,semi-global,1,1,0.985915493,0.985915493,1,1,0.977272727,0.992907801
breast_cancer,0.3,MAR,9,semi-global,1,1,0.769502829,0.802318372,1,1,1,1
breast_cancer,0.3,MAR,10,semi-global,0.964788732,0.890791829,0.929577465,0.929577465,1,1,0.895833333,0.96350365
breast_cancer,0.3,MNAR,1,semi-global,0.850802489,0.918918919,0.478873239,0.478873239,0.930232558,0.918918919,0.519480519,0.62962963
breast_cancer,0.3,MNAR,2,semi-global,0.790861448,0.941176471,0.450704225,0.450704225,0.953488372,0.941176471,0.5125,0.60952381
breast_cancer,0.3,MNAR,3,semi-global,0.706845726,0.682926829,0.394366197,0.394366197,0.697674419,0.682926829,0.410958904,0.5
breast_cancer,0.3,MNAR,4,semi-global,0.809859155,0.970588235,0.464788732,0.464788732,0.976744186,0.970588235,0.525,0.628571429
breast_cancer,0.3,MNAR,5,semi-global,0.793481821,0.970588235,0.464788732,0.464788732,0.976744186,0.970588235,0.525,0.628571429
breast_cancer,0.3,MNAR,6,semi-global,0.843596462,1,0.394366197,0.394366197,0.950855098,1,0.5,0.565656566
breast_cancer,0.3,MNAR,7,semi-global,0.888961677,1,0.366197183,0.366197183,0.955850482,0.923174542,0.488636364,0.536082474
breast_cancer,0.3,MNAR,8,semi-global,0.800687848,0.941176471,0.450704225,0.450704225,0.953488372,0.941176471,0.5125,0.60952381
breast_cancer,0.3,MNAR,9,semi-global,0.911889944,0.945454545,0.732394366,0.732394366,0.930232558,0.945454545,0.677966102,0.825396825
breast_cancer,0.3,MNAR,10,semi-global,0.814281035,0.971428571,0.478873239,0.478873239,0.976744186,0.971428571,0.53164557,0.641509434
open_ml_breast_cancer,0.1,MCAR,1,semi-global,0.843615495,0.733333333,0.647058824,0.647058824,0.902439024,0.733333333,0.860465116,0.6875
open_ml_breast_cancer,0.1,MCAR,2,semi-global,0.942611191,0.727272727,0.941176471,0.941176471,0.853658537,0.727272727,0.972222222,0.820512821
open_ml_breast_cancer,0.1,MCAR,3,semi-global,0.896700143,0.592592593,0.941176471,0.941176471,0.731707317,0.592592593,0.967741935,0.727272727
open_ml_breast_cancer,0.1,MCAR,4,semi-global,0.835724534,0.666666667,0.705882353,0.705882353,0.853658537,0.666666667,0.875,0.685714286
open_ml_breast_cancer,0.1,MCAR,5,semi-global,0.911047346,0.8,0.941176471,0.941176471,0.902439024,0.8,0.973684211,0.864864865
open_ml_breast_cancer,0.1,MCAR,6,semi-global,0.890243902,0.64,0.941176471,0.941176471,0.780487805,0.64,0.96969697,0.761904762
open_ml_breast_cancer,0.1,MCAR,7,semi-global,0.863701578,0.722222222,0.764705882,0.764705882,0.87804878,0.722222222,0.9,0.742857143
open_ml_breast_cancer,0.1,MCAR,8,semi-global,0.791248207,0.535714286,0.882352941,0.882352941,0.682926829,0.535714286,0.933333333,0.666666667
open_ml_breast_cancer,0.1,MCAR,9,semi-global,0.910329986,0.7,0.823529412,0.823529412,0.853658537,0.7,0.921052632,0.756756757
open_ml_breast_cancer,0.1,MCAR,10,semi-global,0.93687231,0.75,0.882352941,0.882352941,0.87804878,0.75,0.947368421,0.810810811
open_ml_breast_cancer,0.1,MAR,1,semi-global,1,1,1,1,1,1,0.900707203,1
open_ml_breast_cancer,0.1,MAR,2,semi-global,1,1,1,1,0.96483206,1,1,1
open_ml_breast_cancer,0.1,MAR,3,semi-global,0.961262554,0.842105263,0.941176471,0.941176471,0.926829268,0.842105263,0.974358974,0.888888889
open_ml_breast_cancer,0.1,MAR,4,semi-global,0.987087518,0.944444444,1,0.781415595,0.975609756,0.944444444,0.914057758,0.971428571
open_ml_breast_cancer,0.1,MAR,5,semi-global,1,1,1,1,0.967767005,1,1,1
open_ml_breast_cancer,0.1,MAR,6,semi-global,1,1,1,0.764910522,1,1,1,1
open_ml_breast_cancer,0.1,MAR,7,semi-global,1,1,1,0.791377805,1,1,1,0.829546335
open_ml_breast_cancer,0.1,MAR,8,semi-global,1,1,1,1,1,0.934773138,0.906398417,1
open_ml_breast_cancer,0.1,MAR,9,semi-global,1,0.908398205,1,0.792575307,0.951993768,1,1,1
open_ml_breast_cancer,0.1,MAR,10,semi-global,1,1,1,1,1,1,0.909892403,1
open_ml_breast_cancer,0.1,MNAR,1,semi-global,0.891678623,0.65,0.764705882,0.764705882,0.829268293,0.65,0.894736842,0.702702703
open_ml_breast_cancer,0.1,MNAR,2,semi-global,0.956958393,0.727272727,0.941176471,0.941176471,0.853658537,0.727272727,0.972222222,0.820512821
open_ml_breast_cancer,0.1,MNAR,3,semi-global,0.815638451,0.608695652,0.823529412,0.823529412,0.780487805,0.608695652,0.914285714,0.7
open_ml_breast_cancer,0.1,MNAR,4,semi-global,0.918938307,0.695652174,0.941176471,0.941176471,0.829268293,0.695652174,0.971428571,0.8
open_ml_breast_cancer,0.1,MNAR,5,semi-global,0.860832138,0.636363636,0.823529412,0.823529412,0.804878049,0.636363636,0.916666667,0.717948718
open_ml_breast_cancer,0.1,MNAR,6,semi-global,0.728837877,0.448275862,0.764705882,0.764705882,0.609756098,0.448275862,0.862068966,0.565217391
open_ml_breast_cancer,0.1,MNAR,7,semi-global,0.944045911,0.842105263,0.941176471,0.941176471,0.926829268,0.842105263,0.974358974,0.888888889
open_ml_breast_cancer,0.1,MNAR,8,semi-global,0.868005739,0.6,0.882352941,0.882352941,0.756097561,0.6,0.939393939,0.714285714
open_ml_breast_cancer,0.1,MNAR,9,semi-global,0.903873745,0.68,1,1,0.804878049,0.68,0.90340625,0.80952381
open_ml_breast_cancer,0.1,MNAR,10,semi-global,0.923242468,0.8,0.941176471,0.941176471,0.902439024,0.8,0.973684211,0.864864865
open_ml_breast_cancer,0.2,MCAR,1,semi-global,0.606886657,0.416666667,0.588235294,0.588235294,0.658536585,0.416666667,0.794117647,0.487804878
open_ml_breast_cancer,0.2,MCAR,2,semi-global,0.774031564,0.578947368,0.647058824,0.647058824,0.804878049,0.578947368,0.846153846,0.611111111
open_ml_breast_cancer,0.2,MCAR,3,semi-global,0.743902439,0.481481481,0.764705882,0.764705882,0.658536585,0.481481481,0.870967742,0.590909091
open_ml_breast_cancer,0.2,MCAR,4,semi-global,0.732424677,0.55,0.647058824,0.647058824,0.780487805,0.55,0.842105263,0.594594595
open_ml_breast_cancer,0.2,MCAR,5,semi-global,0.781922525,0.55,0.647058824,0.647058824,0.780487805,0.55,0.842105263,0.594594595
open_ml_breast_cancer,0.2,MCAR,6,semi-global,0.87804878,0.590909091,0.764705882,0.764705882,0.780487805,0.590909091,0.888888889,0.666666667
open_ml_breast_cancer,0.2,MCAR,7,semi-global,0.768292683,0.481481481,0.764705882,0.764705882,0.658536585,0.481481481,0.870967742,0.590909091
open_ml_breast_cancer,0.2,MCAR,8,semi-global,0.658536585,0.4,0.470588235,0.470588235,0.707317073,0.4,0.763157895,0.432432432
open_ml_breast_cancer,0.2,MCAR,9,semi-global,0.816355811,0.523809524,0.647058824,0.647058824,0.756097561,0.523809524,0.837837838,0.578947368
open_ml_breast_cancer,0.2,MCAR,10,semi-global,0.741032999,0.48,0.705882353,0.705882353,0.682926829,0.48,0.848484848,0.571428571
open_ml_breast_cancer,0.2,MAR,1,semi-global,0.950502152,0.8125,0.764705882,0.764705882,0.926829268,0.8125,0.904761905,0.787878788
open_ml_breast_cancer,0.2,MAR,2,semi-global,1,1,0.796507434,0.791107428,1,1,0.904588393,1
open_ml_breast_cancer,0.2,MAR,3,semi-global,0.889526542,0.714285714,0.882352941,0.882352941,0.853658537,0.714285714,0.945945946,0.789473684
open_ml_breast_cancer,0.2,MAR,4,semi-global,0.967001435,0.941176471,0.941176471,0.941176471,0.975609756,0.941176471,0.975609756,0.941176471
open_ml_breast_cancer,0.2,MAR,5,semi-global,0.985652798,0.944444444,1,1,0.975609756,0.944444444,1,0.971428571
open_ml_breast_cancer,0.2,MAR,6,semi-global,0.991391679,0.882352941,0.882352941,0.882352941,0.951219512,0.882352941,0.951219512,0.882352941
open_ml_breast_cancer,0.2,MAR,7,semi-global,0.951219512,0.842105263,0.941176471,0.941176471,0.926829268,0.842105263,0.974358974,0.888888889
open_ml_breast_cancer,0.2,MAR,8,semi-global,0.965566714,0.823529412,0.823529412,0.823529412,0.926829268,0.823529412,0.926829268,0.823529412
open_ml_breast_cancer,0.2,MAR,9,semi-global,0.99784792,0.941176471,0.941176471,0.941176471,0.975609756,0.941176471,0.975609756,0.941176471
open_ml_breast_cancer,0.2,MAR,10,semi-global,0.987804878,0.894736842,0.760425557,1,0.951219512,0.894736842,1,0.944444444
open_ml_breast_cancer,0.2,MNAR,1,semi-global,0.728837877,0.529411765,0.529411765,0.529411765,0.804878049,0.529411765,0.804878049,0.529411765
open_ml_breast_cancer,0.2,MNAR,2,semi-global,0.781922525,0.52,0.764705882,0.764705882,0.707317073,0.52,0.878787879,0.619047619
open_ml_breast_cancer,0.2,MNAR,3,semi-global,0.700860832,0.470588235,0.470588235,0.470588235,0.780487805,0.470588235,0.780487805,0.470588235
open_ml_breast_cancer,0.2,MNAR,4,semi-global,0.788378766,0.545454545,0.705882353,0.705882353,0.756097561,0.545454545,0.861111111,0.615384615
open_ml_breast_cancer,0.2,MNAR,5,semi-global,0.712338594,0.454545455,0.588235294,0.588235294,0.707317073,0.454545455,0.805555556,0.512820513
open_ml_breast_cancer,0.2,MNAR,6,semi-global,0.782639885,0.583333333,0.823529412,0.823529412,0.756097561,0.583333333,0.911764706,0.682926829
open_ml_breast_cancer,0.2,MNAR,7,semi-global,0.834289813,0.583333333,0.823529412,0.823529412,0.756097561,0.583333333,0.911764706,0.682926829
open_ml_breast_cancer,0.2,MNAR,8,semi-global,0.770444763,0.555555556,0.882352941,0.882352941,0.707317073,0.555555556,0.935483871,0.681818182
open_ml_breast_cancer,0.2,MNAR,9,semi-global,0.823529412,0.56,0.823529412,0.823529412,0.731707317,0.56,0.909090909,0.666666667
open_ml_breast_cancer,0.2,MNAR,10,semi-global,0.656384505,0.384615385,0.588235294,0.588235294,0.609756098,0.384615385,0.78125,0.465116279
open_ml_breast_cancer,0.3,MCAR,1,semi-global,0.609038737,0.368421053,0.411764706,0.411764706,0.707317073,0.368421053,0.743589744,0.388888889
open_ml_breast_cancer,0.3,MCAR,2,semi-global,0.743185079,0.405405405,0.882352941,0.882352941,0.463414634,0.405405405,0.904761905,0.555555556
open_ml_breast_cancer,0.3,MCAR,3,semi-global,0.679340029,0.523809524,0.647058824,0.647058824,0.756097561,0.523809524,0.837837838,0.578947368
open_ml_breast_cancer,0.3,MCAR,4,semi-global,0.576040172,0.379310345,0.647058824,0.647058824,0.56097561,0.379310345,0.793103448,0.47826087
open_ml_breast_cancer,0.3,MCAR,5,semi-global,0.693687231,0.454545455,0.882352941,0.882352941,0.56097561,0.454545455,0.92,0.6
open_ml_breast_cancer,0.3,MCAR,6,semi-global,0.738163558,0.5,0.764705882,0.764705882,0.682926829,0.5,0.875,0.604651163
open_ml_breast_cancer,0.3,MCAR,7,semi-global,0.779053085,0.619047619,0.764705882,0.764705882,0.804878049,0.619047619,0.891891892,0.684210526
open_ml_breast_cancer,0.3,MCAR,8,semi-global,0.584648494,0.333333333,0.470588235,0.470588235,0.609756098,0.333333333,0.735294118,0.390243902
open_ml_breast_cancer,0.3,MCAR,9,semi-global,0.420373027,0.233333333,0.411764706,0.411764706,0.43902439,0.233333333,0.642857143,0.29787234
open_ml_breast_cancer,0.3,MCAR,10,semi-global,0.658536585,0.444444444,0.470588235,0.470588235,0.756097561,0.444444444,0.775,0.457142857
open_ml_breast_cancer,0.3,MAR,1,semi-global,0.890243902,0.652173913,0.882352941,0.882352941,0.804878049,0.652173913,0.942857143,0.75
open_ml_breast_cancer,0.3,MAR,2,semi-global,0.947632712,0.875,0.823529412,0.823529412,0.951219512,0.875,0.928571429,0.848484848
open_ml_breast_cancer,0.3,MAR,3,semi-global,0.895982783,0.625,0.882352941,0.882352941,0.780487805,0.625,0.941176471,0.731707317
open_ml_breast_cancer,0.3,MAR,4,semi-global,0.779053085,0.611111111,0.647058824,0.647058824,0.829268293,0.611111111,0.85,0.628571429
open_ml_breast_cancer,0.3,MAR,5,semi-global,0.766140603,0.571428571,0.705882353,0.705882353,0.780487805,0.571428571,0.864864865,0.631578947
open_ml_breast_cancer,0.3,MAR,6,semi-global,0.949067432,0.882352941,0.882352941,0.882352941,0.951219512,0.882352941,0.951219512,0.882352941
open_ml_breast_cancer,0.3,MAR,7,semi-global,0.890961263,0.7,0.823529412,0.823529412,0.853658537,0.7,0.921052632,0.756756757
open_ml_breast_cancer,0.3,MAR,8,semi-global,0.799139168,0.818181818,0.529411765,0.529411765,0.951219512,0.818181818,0.829787234,0.642857143
open_ml_breast_cancer,0.3,MAR,9,semi-global,0.956241033,0.941176471,0.941176471,0.941176471,0.975609756,0.941176471,0.975609756,0.941176471
open_ml_breast_cancer,0.3,MAR,10,semi-global,0.897417504,0.695652174,0.941176471,0.941176471,0.829268293,0.695652174,0.971428571,0.8
open_ml_breast_cancer,0.3,MNAR,1,semi-global,0.591104735,0.379310345,0.647058824,0.647058824,0.56097561,0.379310345,0.793103448,0.47826087
open_ml_breast_cancer,0.3,MNAR,2,semi-global,0.772596844,0.483870968,0.882352941,0.882352941,0.609756098,0.483870968,0.925925926,0.625
open_ml_breast_cancer,0.3,MNAR,3,semi-global,0.769727403,0.444444444,0.705882353,0.705882353,0.634146341,0.444444444,0.838709677,0.545454545
open_ml_breast_cancer,0.3,MNAR,4,semi-global,0.642037303,0.379310345,0.647058824,0.647058824,0.56097561,0.379310345,0.793103448,0.47826087
open_ml_breast_cancer,0.3,MNAR,5,semi-global,0.668579627,0.363636364,0.705882353,0.705882353,0.487804878,0.363636364,0.8,0.48
open_ml_breast_cancer,0.3,MNAR,6,semi-global,0.582496413,0.333333333,0.470588235,0.470588235,0.609756098,0.333333333,0.735294118,0.390243902
open_ml_breast_cancer,0.3,MNAR,7,semi-global,0.697274032,0.387096774,0.705882353,0.705882353,0.536585366,0.387096774,0.814814815,0.5
open_ml_breast_cancer,0.3,MNAR,8,semi-global,0.460545194,0.285714286,0.470588235,0.470588235,0.512195122,0.285714286,0.7,0.355555556
open_ml_breast_cancer,0.3,MNAR,9,semi-global,0.682209469,0.391304348,0.529411765,0.529411765,0.658536585,0.391304348,0.771428571,0.45
open_ml_breast_cancer,0.3,MNAR,10,semi-global,0.763988522,0.483870968,0.882352941,0.882352941,0.609756098,0.483870968,0.925925926,0.625
pima_indians_diabetes,0.1,MCAR,1,semi-global,0.860606061,0.676056338,0.872727273,0.872727273,0.767676768,0.676056338,0.915662651,0.761904762
pima_indians_diabetes,0.1,MCAR,2,semi-global,0.852066116,0.701492537,0.854545455,0.854545455,0.797979798,0.701492537,0.908045977,0.770491803
pima_indians_diabetes,0.1,MCAR,3,semi-global,0.842424242,0.74137931,0.781818182,0.781818182,0.848484848,0.74137931,0.875,0.761061947
pima_indians_diabetes,0.1,MCAR,4,semi-global,0.893847567,0.726027397,0.963636364,0.963636364,0.797979798,0.726027397,0.975308642,0.828125
pima_indians_diabetes,0.1,MCAR,5,semi-global,0.80697888,0.630136986,0.836363636,0.836363636,0.727272727,0.630136986,0.888888889,0.71875
pima_indians_diabetes,0.1,MCAR,6,semi-global,0.946740129,0.852459016,0.945454545,0.945454545,0.909090909,0.852459016,0.967741935,0.896551724
pima_indians_diabetes,0.1,MCAR,7,semi-global,0.908999082,0.706666667,0.963636364,0.963636364,0.777777778,0.706666667,0.974683544,0.815384615
pima_indians_diabetes,0.1,MCAR,8,semi-global,0.858218549,0.628205128,0.890909091,0.890909091,0.707070707,0.628205128,0.921052632,0.736842105
pima_indians_diabetes,0.1,MCAR,9,semi-global,0.871533517,0.661971831,0.854545455,0.854545455,0.757575758,0.661971831,0.903614458,0.746031746
pima_indians_diabetes,0.1,MCAR,10,semi-global,0.853076217,0.73015873,0.836363636,0.836363636,0.828282828,0.73015873,0.901098901,0.779661017
pima_indians_diabetes,0.1,MAR,1,semi-global,1,1,1,0.785724273,1,0.917506202,0.904339611,1
pima_indians_diabetes,0.1,MAR,2,semi-global,0.994490358,0.916666667,0.801083934,1,0.949494949,0.916666667,1,0.956521739
pima_indians_diabetes,0.1,MAR,3,semi-global,0.990817264,0.981818182,0.981818182,0.981818182,0.98989899,0.981818182,0.98989899,0.981818182
pima_indians_diabetes,0.1,MAR,4,semi-global,0.990541781,0.981818182,0.981818182,0.981818182,0.98989899,0.981818182,0.98989899,0.981818182
pima_indians_diabetes,0.1,MAR,5,semi-global,0.994031221,0.964285714,0.981818182,0.981818182,0.97979798,0.964285714,0.989795918,0.972972973
pima_indians_diabetes,0.1,MAR,6,semi-global,0.994857668,0.982142857,0.758043469,1,0.98989899,0.982142857,1,0.990990991
pima_indians_diabetes,0.1,MAR,7,semi-global,1,1,1,1,0.9506808,1,0.906827511,1
pima_indians_diabetes,0.1,MAR,8,semi-global,0.978696051,0.915254237,0.981818182,0.981818182,0.949494949,0.915254237,0.989473684,0.947368421
pima_indians_diabetes,0.1,MAR,9,semi-global,0.981450872,0.981481481,0.963636364,0.963636364,0.98989899,0.981481481,0.98,0.972477064
pima_indians_diabetes,0.1,MAR,10,semi-global,0.990909091,0.93334188,0.981818182,0.981818182,1,0.919511712,0.99,0.990825688
pima_indians_diabetes,0.1,MNAR,1,semi-global,0.880440771,0.671232877,0.890909091,0.890909091,0.757575758,0.671232877,0.925925926,0.765625
pima_indians_diabetes,0.1,MNAR,2,semi-global,0.865013774,0.734375,0.854545455,0.854545455,0.828282828,0.734375,0.911111111,0.789915966
pima_indians_diabetes,0.1,MNAR,3,semi-global,0.924701561,0.776119403,0.945454545,0.945454545,0.848484848,0.776119403,0.965517241,0.852459016
pima_indians_diabetes,0.1,MNAR,4,semi-global,0.850596878,0.676470588,0.836363636,0.836363636,0.777777778,0.676470588,0.895348837,0.74796748
pima_indians_diabetes,0.1,MNAR,5,semi-global,0.83379247,0.666666667,0.836363636,0.836363636,0.767676768,0.666666667,0.894117647,0.741935484
pima_indians_diabetes,0.1,MNAR,6,semi-global,0.795316804,0.630136986,0.836363636,0.836363636,0.727272727,0.630136986,0.888888889,0.71875
pima_indians_diabetes,0.1,MNAR,7,semi-global,0.848760331,0.709677419,0.8,0.8,0.818181818,0.709677419,0.880434783,0.752136752
pima_indians_diabetes,0.1,MNAR,8,semi-global,0.880257117,0.694444444,0.909090909,0.909090909,0.777777778,0.694444444,0.93902439,0.787401575
pima_indians_diabetes,0.1,MNAR,9,semi-global,0.881359045,0.71641791,0.872727273,0.872727273,0.808080808,0.71641791,0.91954023,0.786885246
pima_indians_diabetes,0.1,MNAR,10,semi-global,0.861799816,0.620253165,0.890909091,0.890909091,0.696969697,0.620253165,0.92,0.731343284
